Date,Product ID,Product Name / Category,Price,Quantity Sold,Revenue
2024-01-17,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-01-17,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-01-17,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-01-18,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-01-18,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-01-18,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-01-18,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-01-19,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-01-19,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-01-19,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-01-19,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-01-19,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-01-20,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-01-20,P3005,Desk Chair / Furniture,149.99,4,599.96
2024-01-20,P3006,Bookshelf / Furniture,79.99,3,"""nc"""
2024-01-20,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-01-20,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-01-21,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-01-21,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-01-21,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-01-21,P3002,Tablet / Electronics,299.99,8,2399.92
2024-01-21,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-01-22,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-01-22,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-01-22,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-01-22,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-01-22,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-01-23,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-01-23,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-01-23,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-01-23,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-01-23,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-01-24,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-01-24,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-01-24,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-01-24,,Dining Table / Furniture,399.99,2,$799.98
2024-01-24,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-01-25,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-01-25,P3000,Laptop / Electronics,899.99,7,6299.93
2024-01-25,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-01-25,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-01-26,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-01-26,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-01-26,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-01-26,P3006,                Bookshelf / Furniture,79.99,3,$239.97
2024-01-26,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-01-27,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-01-27,P3009,Office Desk / Furniture,249.99,4,999.96
2024-01-27,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-01-27,P3001,Smartphone / Elx,599.99,5,"$2,999.95"
2024-01-28,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-01-28,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-01-28,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-01-28,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-01-29,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-01-29,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-01-29,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-01-29,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-01-30,P3000,Laptop /                    Electronics,899.99,7," ""ijkl"" "
2024-01-30,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-01-30,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-01-30,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-01-31,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-01-31,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-01-31,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-01-31,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-01-31,P3008,Sofa   /    Furniture,599.99,2,"$1,199.98"
2024-02-01,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-01,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-01,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-02-01,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-01,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-02,,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-02,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-02,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-02-02,P3007,Dining Table / Furniture,399.99,2,799.98
2024-02-02,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-03,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-03,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-03,P3001,SMARTPHONE / Electronics,599.99,5,"$2,999.95"
2024-02-03,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-03,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-04,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-04,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-04,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-02-04,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-02-04,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-05,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-05,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-05,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-02-05,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-06,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-06,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-06,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-06,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-06,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-02-07,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-07,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-07,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-07,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-02-08,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-08,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-08,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-08,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-09,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-02-09,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-02-09,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-09,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-10,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-10,P3001,Smartphone / ELECTRONICS,599.99,5,"$2,999.95"
2024-02-10,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-10,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-10,P3004,Smart Watch / Electronics,199.99,10,1999.9
2024-02-11,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-11,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-02-11,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-02-11,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-12,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-12,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-12,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-02-12,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-12,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-13,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-13,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-13,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-02-13,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-02-13,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-14,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-14,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-14,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-02-14,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-14,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-15,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-15,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-15,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-02-15,P3007,dining table / FURniture,399.99,2,$799.98
2024-02-15,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-16,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-16,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-16,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-02-16,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-16,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-17,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-17,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-17,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-02-17,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-02-17,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-18,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-18,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-18,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-02-18,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-18,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-19,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-19,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-19,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-02-19,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-02-19,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-20,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-20,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-20,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-02-20,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-20,,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-21,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-21,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-21,P3006,Bookshelf / Furniture,79.99,3,239.97
2024-02-21,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-02-21,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-22,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-22,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-22,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-02-22,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-22,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-23,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-23,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-23,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-02-23,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-02-23,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-24,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-24,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-24,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-02-24,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-24,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-25,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-25,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-25,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-02-25,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-02-25,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-26,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-26,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-26,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-02-26,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-26,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-02-27,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-02-27,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-02-27,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-02-27,,Dining Table / Furniture,399.99,2,$799.98
2024-02-27,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-02-28,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-02-28,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-02-28,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-02-28,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-02-28,P3003,Headphones / Electronics,99.99,3,$299.97
2024-02-29,P3009,Office Desk / Furniture,249.99,1,$249.99
2024-02-29,P3000,Laptop / Electronics,899.99,2,"$1,799.98"
2024-02-29,P3001,Smartphone / Electronics,599.99,1,$599.99
2024-02-29,P3002,Tablet / Electronics,299.99,3,$899.97
2024-02-29,P3003,Headphones / Electronics,99.99,1,$99.99
2024-03-01,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-03-01,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-03-01,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-03-01,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-01,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-03-02,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-03-02,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-03-02,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-03-02,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-03-02,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-03-03,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-03-03,,Desk Chair / Furniture,149.99,4,$599.96
2024-03-03,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-03-03,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-03,P3008,Sofa / Furniture,599.99,2,1199.98
2024-03-04,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-03-04,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-03-04,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-03-04,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-03-04,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-03-05,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-03-05,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-03-05,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-03-05,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-05,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-03-06,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-03-06,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-03-06,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-03-06,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-03-06,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-03-07,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-03-07,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-03-07,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-03-07,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-07,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-03-08,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-03-08,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-03-08,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-03-08,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-03-08,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-03-09,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-09,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-03-09,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-03-09,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-09,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-03-10,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-03-10,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-03-10,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-03-10,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-03-10,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-03-11,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-03-11,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-03-11,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-03-11,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-11,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-03-12,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-03-12,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-03-12,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-03-12,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-03-12,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-03-13,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-03-13,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-03-13,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-03-13,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-13,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-03-14,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-03-14,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-03-14,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-03-14,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-03-14,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-03-15,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-03-15,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-03-15,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-03-15,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-15,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-03-16,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-03-16,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-03-16,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-03-16,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-03-16,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-03-17,P3004,Smart watch / Electronics,199.99,10,"$1,999.90"
2024-03-17,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-03-17,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-03-17,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-17,P3008,Sofa / Furniture,599.99,2," ""abc"" "
2024-03-18,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-03-18,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-03-18,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-03-18,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-03-18,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-03-19,,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-03-19,,Desk Chair / Furniture,149.99,4,$599.96
2024-03-19,,Bookshelf / Furniture,79.99,3,$239.97
2024-03-19,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-19,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-03-20,P3009,Office Desk / FURNITURE,249.99,4,$999.96
2024-03-20,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-03-20,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-03-20,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-03-20,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-03-21,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-03-21,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-03-21,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-03-21,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-21,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-03-22,P3009,Office Desk / urniture,249.99,4,$999.96
2024-03-22,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-03-22,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-03-22,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-03-22,P3003,Headphones / Electronics,99.99,20,1999.8
2024-03-23,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-03-23,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-03-23,P3006,Bookshelf   / Furniture,79.99,3,$239.97
2024-03-23,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-03-23,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-03-24,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-03-24,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-03-24,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-03-24,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
